;papel;tipo;empresa;setor;cotacao;dt_ult_cotacao;min_52_sem;max_52_sem;vol_med;valor_mercado;valor_firma;ult_balanco_pro;nr_acoes;os_dia;pl;lpa;pvp;vpa;p_ebit;marg_bruta;psr;marg_ebit;p_ativo;marg_liquida;p_cap_giro;ebit_ativo;p_ativo_circ_liq;roic;div_yield;roe;ev_ebitda;liquidez_corr;ev_ebit;cres_rec;ativo;disponibilidades;ativo_circulante;divd_bruta;divd_liquida;patr_liquido;lucro_liquido_12m;lucro_liquido_3m
275;MRVE3;ON NM;MRV ON NM;Construção Civil;12,91;24/08/2023;5,53;14,14;147.385.000;7.255.050.000;14.773.500.000;30/06/2023;561971000;-0.69;-73.34;-0.18;1.21;10.71;100.64;20.8;1.05;1.0;0.31;-0.9;1.28;0.3;-1.31;0.3;1.3;-1.6;62.29;2.06;204.93;4.3;23.344.700.000;609.856.000;11.008.300.000;8.128.290.000;7.518.430.000;6.018.990.000;-98.926.000;181.098.000
276;MSPA3;ON;MELHORAMENTOS ON;Madeira e Papel;46,25;23/01/2023;46,25;46,25;0;296.231.000;395.668.000;30/06/2023;6405000;0.00;17.74;2.61;0.36;128.80;-34.47;37.3;1.46;-4.2;0.21;8.2;7.67;-0.6;-0.63;-0.6;0.1;2.0;62.65;1.46;-46.03;13.9;1.421.130.000;49.403.000;123.213.000;148.840.000;99.437.000;824.938.000;16.696.000;6.968.000
277;MTIG4;PN;IGUAÇU PN;Embalagens;23,00;20/10/2022;23,00;30,00;0;2.814.070.000;2.851.590.000;31/12/2022;122351000;0.00;-49.52;-0.46;-359.15;-0.06;-94.31;-16.1;56.00;-59.4;36.91;-113.1;-50.93;-39.1;-44.00;-47.8;0.0;725.3;-104.60;0.27;-95.57;-26.5;76.250.000;1.246.500;20.135.200;38.761.900;37.515.400;-7.835.380;-56.828.500;-15.693.500
278;MTRE3;ON NM;MITRE REALTY ON NM;Construção Civil;5,35;24/08/2023;2,87;6,97;6.735.500;565.896.000;968.856.000;30/06/2023;105775000;-2.73;5.80;0.92;0.55;9.72;13.13;24.3;0.70;5.3;0.26;12.2;0.51;2.0;0.92;2.2;17.2;9.5;19.78;2.85;22.49;37.4;2.165.800.000;178.080.000;1.717.720.000;581.040.000;402.960.000;1.028.210.000;97.607.000;56.065.000
279;MTSA4;PN;METISA PN;Máquinas e Equipamentos;52,44;24/08/2023;32,71;53,00;104.520;460.933.000;367.018.000;30/06/2023;8789730;-0.11;4.88;10.75;1.10;47.51;4.12;30.8;0.63;15.4;0.84;13.0;1.51;20.4;1.57;28.9;6.2;22.6;2.99;3.60;3.28;31.6;547.745.000;129.669.000;424.007.000;35.753.400;-93.915.500;417.587.000;94.527.000;23.498.300
280;MULT3;ON N2;Multiplan ON N2;Exploração de Imóveis;26,31;24/08/2023;19,65;28,13;115.451.000;15.806.000.000;17.714.700.000;30/06/2023;600761000;-0.34;17.97;1.46;2.32;11.34;11.00;91.7;8.29;75.4;1.48;46.2;100.35;13.4;-6.33;14.6;3.2;12.9;10.93;1.13;12.33;11.2;10.687.200.000;717.838.000;1.379.330.000;2.626.470.000;1.908.630.000;6.812.010.000;879.560.000;247.233.000
281;MWET3;ON;WETZEL S.A. ON;Material de Transporte;13,29;21/08/2023;13,28;35,10;60;27.350.800;99.075.800;30/06/2023;2058000;0.00;0.89;14.94;-2.29;-5.81;12.63;15.3;0.09;0.7;0.10;10.6;-1.53;0.8;-0.15;0.9;0.0;-257.1;15.25;0.86;45.74;17.0;277.771.000;380.000;110.184.000;72.105.000;71.725.000;-11.961.000;30.754.000;-3.584.000
282;MWET4;PN;WETZEL S.A. PN;Material de Transporte;9,96;24/08/2023;8,90;13,50;32.944;20.497.700;92.222.700;30/06/2023;2058000;-0.30;0.67;14.94;-1.71;-5.81;9.46;15.3;0.07;0.7;0.07;10.6;-1.15;0.8;-0.11;0.9;0.0;-257.1;14.20;0.86;42.58;17.0;277.771.000;380.000;110.184.000;72.105.000;71.725.000;-11.961.000;30.754.000;-3.584.000
283;MYPK3;ON;IOCHPE-MAXION ON;Automóveis e Motocicletas;14,79;24/08/2023;9,93;15,43;21.751.800;2.273.520.000;6.011.480.000;30/06/2023;153720000;0.34;-79.11;-0.19;0.60;24.63;3.45;8.8;0.14;4.0;0.16;0.5;0.98;4.6;-0.83;6.7;3.4;-0.8;5.27;1.45;9.12;17.1;14.330.200.000;2.458.590.000;7.448.280.000;6.196.550.000;3.737.960.000;3.786.150.000;-28.739.000;59.360.000
284;NEOE3;ON NM;NEOENERGIA ON NM;Energia Elétrica;18,99;24/08/2023;13,09;21,99;32.720.000;23.050.000.000;60.155.000.000;30/06/2023;1213800000;-0.89;5.27;3.60;0.83;22.93;2.34;28.0;0.52;22.1;0.24;9.9;9.48;10.2;-0.55;11.4;6.1;15.7;4.89;1.10;6.10;15.2;96.681.000.000;6.317.000.000;26.877.000.000;43.422.000.000;37.105.000.000;27.832.000.000;4.374.000.000;728.000.000
285;NGRD3;ON NM;NEOGRID ON NM;Programas e Serviços;1,38;24/08/2023;1,05;2,17;1.652.450;329.354.000;168.087.000;30/06/2023;238662000;1.47;25.93;0.05;0.72;1.91;83.55;63.8;1.21;1.4;0.48;4.0;1.88;0.6;4.83;0.9;1.1;2.8;5.47;2.37;42.64;9.2;689.064.000;216.510.000;302.257.000;55.243.000;-161.267.000;456.302.000;12.700.000;-3.097.000
286;NINJ3;ON NM;GETNINJAS ON NM;Programas e Serviços;3,77;24/08/2023;2,16;3,94;463.919;191.505.000;-77.502.300;30/06/2023;50797000;0.53;-48.41;-0.08;0.68;5.52;-5.43;91.3;3.21;-59.2;0.64;-6.6;0.73;-11.8;0.73;-160.1;0.0;-1.4;2.33;15.59;2.20;02.1;299.478.000;270.223.000;280.409.000;1.216.000;-269.007.000;280.216.000;-3.956.000;1.510.000
