;Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
217;31/03/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
218;26/02/2010;0,0218;JRS CAP PRÓPRIO;-							  ;1;BEES4
219;30/11/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES4
220;30/10/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES4
221;30/09/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES4
222;31/08/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES4
223;27/08/2009;0,0024;DIVIDENDO;-							  ;1;BEES4
224;31/07/2009;0,0185;JRS CAP PRÓPRIO;-							  ;1;BEES4
225;30/06/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES4
226;29/05/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES4
227;30/04/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES4
228;28/04/2009;0,0486;DIVIDENDO;-							  ;1;BEES4
229;31/03/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES4
230;27/02/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES4
231;17/02/2009;0,0192;JRS CAP PRÓPRIO;-							  ;1;BEES4
232;30/12/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
233;28/11/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
234;31/10/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
235;30/09/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
236;29/08/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
237;26/08/2008;0,0298;DIVIDENDO;-							  ;1;BEES4
238;31/07/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
239;30/06/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
240;30/05/2008;0,0147;JRS CAP PRÓPRIO;-							  ;1;BEES4
241;29/02/2008;0,0015;JRS CAP PRÓPRIO;-							  ;1;BEES4
242;15/02/2008;0,0015;JRS CAP PRÓPRIO;-							  ;1;BEES4
243;;;;;;BEES4
244;2026;0,058;;;;BEES4
245;2025;0,712;;;;BEES4
246;2024;0,664;;;;BEES4
247;2023;0,634;;;;BEES4
248;2022;0,587;;;;BEES4
249;2021;0,342;;;;BEES4
250;2020;0,212;;;;BEES4
251;2019;0,302;;;;BEES4
252;2018;0,254;;;;BEES4
253;2017;0,198;;;;BEES4
254;2016;0,194;;;;BEES4
255;2015;0,169;;;;BEES4
256;2014;0,026;;;;BEES4
257;2013;0,024;;;;BEES4
258;2012;0,202;;;;BEES4
259;2011;0,336;;;;BEES4
260;2010;0,220;;;;BEES4
