Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
26/12/2005;0,0380;JRS CAP PRÓPRIO;-							  ;1;ITSA4
26/12/2005;0,0095;JRS CAP PRÓPRIO;-							  ;1;ITSA4
20/09/2005;0,0095;JRS CAP PRÓPRIO;-							  ;1;ITSA4
12/08/2005;0,0380;JRS CAP PRÓPRIO;-							  ;1;ITSA4
23/06/2005;0,0095;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/03/2005;0,0133;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/03/2005;0,0112;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/03/2005;0,0073;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/12/2004;0,1115;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/12/2004;0,0262;JRS CAP PRÓPRIO;-							  ;1;ITSA4
07/12/2004;0,0073;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/09/2004;0,0073;JRS CAP PRÓPRIO;-							  ;1;ITSA4
13/08/2004;0,0246;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/06/2004;0,0073;JRS CAP PRÓPRIO;-							  ;1;ITSA4
09/03/2004;0,0056;JRS CAP PRÓPRIO;-							  ;1;ITSA4
17/02/2004;0,0146;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/12/2003;0,0750;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/12/2003;0,0585;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/12/2003;0,0056;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/09/2003;0,0056;JRS CAP PRÓPRIO;-							  ;1;ITSA4
15/08/2003;0,0205;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/06/2003;0,0056;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/03/2003;0,0436;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/03/2003;0,0054;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/03/2003;0,0040;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/12/2002;0,0476;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/12/2002;0,0040;JRS CAP PRÓPRIO;-							  ;1;ITSA4
17/09/2002;0,0040;JRS CAP PRÓPRIO;-							  ;1;ITSA4
13/08/2002;0,0190;JRS CAP PRÓPRIO;-							  ;1;ITSA4
14/06/2002;0,0040;JRS CAP PRÓPRIO;-							  ;1;ITSA4
29/04/2002;0,0570;JRS CAP PRÓPRIO;-							  ;1;ITSA4
19/03/2002;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
28/12/2001;0,0412;JRS CAP PRÓPRIO;-							  ;1;ITSA4
14/12/2001;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/09/2001;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
14/08/2001;0,0190;JRS CAP PRÓPRIO;-							  ;1;ITSA4
19/06/2001;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
09/03/2001;0,0298;JRS CAP PRÓPRIO;-							  ;1;ITSA4
09/03/2001;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
22/12/2000;0,0537;JRS CAP PRÓPRIO;-							  ;1;ITSA4
19/12/2000;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
18/09/2000;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
15/08/2000;0,0173;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/06/2000;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
21/03/2000;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
27/12/1999;0,0582;JRS CAP PRÓPRIO;-							  ;1;ITSA4
17/12/1999;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
17/09/1999;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
13/08/1999;0,0160;JRS CAP PRÓPRIO;-							  ;1;ITSA4
22/06/1999;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
16/03/1999;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
23/12/1998;0,0028;JRS CAP PRÓPRIO;-							  ;1;ITSA4
02/10/1998;0,0236;JRS CAP PRÓPRIO;-							  ;1;ITSA4
22/09/1998;0,0024;DIVIDENDO;-							  ;1;ITSA4
11/08/1998;0,0101;DIVIDENDO;-							  ;1;ITSA4
18/06/1998;0,0024;DIVIDENDO;-							  ;1;ITSA4
03/03/1998;0,0116;DIVIDENDO;-							  ;1;ITSA4
03/03/1998;0,0100;DIVIDENDO;-							  ;1;ITSA4
03/03/1998;0,0024;DIVIDENDO;-							  ;1;ITSA4
17/12/1997;0,0024;DIVIDENDO;-							  ;1;ITSA4
16/09/1997;0,0024;DIVIDENDO;-							  ;1;ITSA4
12/08/1997;0,0078;DIVIDENDO;-							  ;1;ITSA4
23/06/1997;0,0024;DIVIDENDO;-							  ;1;ITSA4
03/03/1997;0,0060;DIVIDENDO;-							  ;1;ITSA4
03/03/1997;0,0024;DIVIDENDO;-							  ;1;ITSA4
17/12/1996;0,0024;DIVIDENDO;-							  ;1;ITSA4
18/09/1996;0,0024;DIVIDENDO;-							  ;1;ITSA4
13/08/1996;0,0044;DIVIDENDO;-							  ;1;ITSA4
18/06/1996;0,0024;DIVIDENDO;-							  ;1;ITSA4
12/03/1996;0,0050;DIVIDENDO;-							  ;1;ITSA4
12/03/1996;0,0019;DIVIDENDO;-							  ;1;ITSA4
;;;;;ITSA4
2026;0,302;;;;ITSA4
2025;1,734;;;;ITSA4
2024;0,666;;;;ITSA4
2023;0,585;;;;ITSA4
2022;0,614;;;;ITSA4
2021;0,394;;;;ITSA4
2020;0,645;;;;ITSA4
2019;1,191;;;;ITSA4
2018;0,951;;;;ITSA4
2017;0,475;;;;ITSA4
2016;0,597;;;;ITSA4
2015;0,533;;;;ITSA4
2014;0,354;;;;ITSA4
2013;0,328;;;;ITSA4
2012;0,414;;;;ITSA4
2011;0,433;;;;ITSA4
2010;0,396;;;;ITSA4
