Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
05/12/2008;0,5715;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
03/11/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
01/10/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
01/09/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
01/08/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
01/07/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
27/06/2008;0,1202;DIVIDENDO;-							  ;1;BBDC3
02/06/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
02/05/2008;0,0120;DIVIDENDO;-							  ;1;BBDC3
01/04/2008;0,0180;DIVIDENDO;-							  ;1;BBDC3
03/03/2008;0,0308;DIVIDENDO;-							  ;1;BBDC3
03/03/2008;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/02/2008;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/01/2008;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
28/12/2007;0,5370;JRS CAP PRÓPRIO;-							  ;1;BBDC3
28/12/2007;0,4010;DIVIDENDO;-							  ;1;BBDC3
03/12/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/11/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/10/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/09/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/08/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/07/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
27/06/2007;0,1532;DIVIDENDO;-							  ;1;BBDC3
01/06/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/05/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/04/2007;0,0180;JRS CAP PRÓPRIO;-							  ;1;BBDC3
05/03/2007;0,0381;DIVIDENDO;-							  ;1;BBDC3
01/03/2007;0,0361;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/02/2007;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/01/2007;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/11/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
05/10/2006;0,7843;JRS CAP PRÓPRIO;-							  ;1;BBDC3
05/10/2006;0,5690;DIVIDENDO;-							  ;1;BBDC3
02/10/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/09/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/08/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/07/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
30/06/2006;0,3278;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/06/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/05/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/04/2006;0,0328;JRS CAP PRÓPRIO;-							  ;1;BBDC3
06/03/2006;0,3345;DIVIDENDO;-							  ;1;BBDC3
01/03/2006;0,0285;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/02/2006;0,0285;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/01/2006;0,0285;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2005;0,0285;JRS CAP PRÓPRIO;-							  ;1;BBDC3
11/11/2005;1,7560;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/11/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/10/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/09/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/08/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/07/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
29/06/2005;0,5700;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/06/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/05/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/04/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/03/2005;0,0570;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/02/2005;0,0471;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/01/2005;0,0471;JRS CAP PRÓPRIO;-							  ;1;BBDC3
06/12/2004;5,4395;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/12/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/11/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/10/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/09/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
02/08/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/07/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
30/06/2004;0,8471;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/06/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
03/05/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/04/2004;0,1412;JRS CAP PRÓPRIO;-							  ;1;BBDC3
01/03/2004;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
02/02/2004;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
02/01/2004;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
05/12/2003;0,5121;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
01/12/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
03/11/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
01/10/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
01/09/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
01/08/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
01/07/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
30/06/2003;0,1412;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
02/06/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
02/05/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
01/04/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
05/03/2003;0,0141;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
03/02/2003;0,0118;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
02/01/2003;0,0118;JRS CAP PRÓPRIO;-							  ;1000;BBDC3
