Data;Valor;Tipo;Data de Pagamento;Por quantas ações;Acao
31/05/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2007;0,0011;JRS CAP PRÓPRIO;-							  ;1;BEES3
19/04/2007;0,0033;JRS CAP PRÓPRIO;-							  ;1;BEES3
10/04/2007;0,0088;DIVIDENDO;-							  ;1;BEES3
28/12/2006;0,0008;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/11/2006;0,0008;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/10/2006;0,0007;JRS CAP PRÓPRIO;-							  ;1;BEES3
29/09/2006;0,0009;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/08/2006;0,0009;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/07/2006;0,0047;DIVIDENDO;-							  ;1;BEES3
31/07/2006;0,0009;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/06/2006;0,0010;JRS CAP PRÓPRIO;-							  ;1;BEES3
31/05/2006;0,0010;JRS CAP PRÓPRIO;-							  ;1;BEES3
24/05/2006;0,0041;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/04/2006;0,0094;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/04/2006;0,0046;DIVIDENDO;-							  ;1;BEES3
28/04/2005;0,0064;JRS CAP PRÓPRIO;-							  ;1;BEES3
28/04/2005;0,0011;DIVIDENDO;-							  ;1;BEES3
05/04/2004;0,0019;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2002;0,0056;DIVIDENDO;-							  ;1;BEES3
02/01/2002;0,0016;JRS CAP PRÓPRIO;-							  ;1;BEES3
30/04/2001;0,0014;DIVIDENDO;-							  ;1;BEES3
28/04/2000;0,0005;DIVIDENDO;-							  ;1;BEES3
;;;;;BEES3
2026;0,349;;;;BEES3
2025;0,712;;;;BEES3
2024;0,664;;;;BEES3
2023;0,634;;;;BEES3
2022;0,587;;;;BEES3
2021;0,342;;;;BEES3
2020;0,212;;;;BEES3
2019;0,302;;;;BEES3
2018;0,254;;;;BEES3
2017;0,198;;;;BEES3
2016;0,194;;;;BEES3
2015;0,169;;;;BEES3
2014;0,026;;;;BEES3
2013;0,024;;;;BEES3
2012;0,202;;;;BEES3
2011;0,336;;;;BEES3
2010;0,220;;;;BEES3
