Acao;Data;Hora;Descrição;Link
CEEB3;22/03/2022;18:48;PAGAMENTO DE JUROS SOBRE CAPITAL PRÓPRIO;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=956872&descTipo=IPE&CodigoInstituicao=1
CEEB3;09/03/2022;21:01;MUDANÇA NAS PUBLICAÇÕES DA LSA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=952000&descTipo=IPE&CodigoInstituicao=1
CEEB3;16/12/2021;20:25;Distribuição de Juros sobre Capital Próprio, com data base em 31/12/2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=926681&descTipo=IPE&CodigoInstituicao=1
CEEB3;13/12/2021;18:43;Pagamento de Dividendos Intermediários;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=925574&descTipo=IPE&CodigoInstituicao=1
CEEB3;30/11/2021;18:30;Dividendos Intermediários referente resultado 1º semestre;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=921043&descTipo=IPE&CodigoInstituicao=1
CEEB3;07/10/2021;18:14;Pagamento de Juros Sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=906184&descTipo=IPE&CodigoInstituicao=1
CEEB3;16/09/2021;22:50;Acordo para Aquisição Relevante;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=901675&descTipo=IPE&CodigoInstituicao=1
CEEB3;17/08/2021;19:13;ELEIÇÃO DE NOVO DIRETOR FINANCEIRO DE RELAÇÕES COM INVESTIDORES;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=894376&descTipo=IPE&CodigoInstituicao=1
CEEB3;30/06/2021;19:09;(1) JSCP - 1° Semestre 2021;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=880127&descTipo=IPE&CodigoInstituicao=1
CEEB3;30/04/2021;19:25;Dividendos/Juros sobre Capital Próprio;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=861267&descTipo=IPE&CodigoInstituicao=1
CEEB3;22/04/2021;18:44;Reajuste Tarifário da Coelba;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=856349&descTipo=IPE&CodigoInstituicao=1
CEEB3;08/04/2021;19:25;Dividendos Propostos 2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=852021&descTipo=IPE&CodigoInstituicao=1
CEEB3;31/03/2021;18:33;Financiamento JICA;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=849107&descTipo=IPE&CodigoInstituicao=1
CEEB3;10/02/2021;19:49;Alterações na composição da diretoria da Companhia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=830051&descTipo=IPE&CodigoInstituicao=1
CEEB3;06/11/2020;19:39;Eleição Diretor Presidente;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=806020&descTipo=IPE&CodigoInstituicao=1
CEEB3;03/07/2020;18:49;Adesão à Conta-Covid;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=773933&descTipo=IPE&CodigoInstituicao=1
CEEB3;14/04/2020;21:47;Reajuste Tarifário;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=754232&descTipo=IPE&CodigoInstituicao=1
CEEB3;30/03/2020;21:01;Cancelamento AGOE de 08.04.2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=750137&descTipo=IPE&CodigoInstituicao=1
CEEB3;30/03/2020;20:10;Cancelamento AGO de 08.04.2020;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=750053&descTipo=IPE&CodigoInstituicao=1
CEEB3;20/02/2020;18:05;Alteração Banco Escriturador;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=740025&descTipo=IPE&CodigoInstituicao=1
CEEB3;13/02/2020;18:25;Alteração Banco Escriturador;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=737402&descTipo=IPE&CodigoInstituicao=1
CEEB3;17/04/2019;20:50;Nomeação Diretor de Finanças e de RI;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=680382&descTipo=IPE&CodigoInstituicao=1
CEEB3;27/07/2018;18:53;Renúncia do DRI;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=634312&descTipo=IPE&CodigoInstituicao=1
CEEB3;11/07/2018;22:36;S&P - Novo Relatório sobre o Rating;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=632700&descTipo=IPE&CodigoInstituicao=1
CEEB3;20/04/2018;19:25;Revisão Tarifária_Informações Complementares;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=611798&descTipo=IPE&CodigoInstituicao=1
CEEB3;18/04/2018;21:40;Revisão Tarifária 4º ciclo;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=611087&descTipo=IPE&CodigoInstituicao=1
CEEB3;15/01/2018;20:29;Comunicado informando a data da Assembleia Geral Ordinária;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=593829&descTipo=IPE&CodigoInstituicao=1
CEEB3;25/07/2017;21:06;Reapresentação de Forma Espontânea das Demonstrações Financeiras de 2014, 2015 e 2016;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=572609&descTipo=IPE&CodigoInstituicao=1
CEEB3;08/06/2017;04:01;Acordo de Associação entre os Acionistas Controladores da Neoenergia: Incorporação da Elektro Holidng pela Neoenergia;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=567240&descTipo=IPE&CodigoInstituicao=1
CEEB3;31/05/2016;20:17;Diretor Financeiro e de Relações com Investidores - Nomeação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=518865&descTipo=IPE&CodigoInstituicao=1
CEEB3;31/05/2016;16:18;Diretor Financeiro e de Relações com Investidores- Nomeação;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=518772&descTipo=IPE&CodigoInstituicao=1
CEEB3;05/04/2016;20:43;Retificação Manual Assembleia Geral Ordinária e Extraordinária - 25/04/16;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=509064&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/03/2016;17:53;Rating Moodyu0027s - Versão em inglês;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=502792&descTipo=IPE&CodigoInstituicao=1
CEEB3;18/02/2016;21:57;S&P Novo modelo de relatório sobre Rating;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=501636&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/09/2015;11:08;Coelba destina R$ 6,3 milhões para Pesquisa e Desenvolvimento em 2015;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=483094&descTipo=IPE&CodigoInstituicao=1
CEEB3;17/07/2015;12:36;Rating Moodyu0027s - Versão em inglês;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=478003&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/04/2015;15:18;S&P - Novo Modelo de Relatório sobre o Rating - Versão Inglês;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=462865&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/04/2015;14:55;S&P - Novo Modelo de Relatório sobre o Rating - Versão em Português;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=462858&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/04/2015;11:37;S&P - Novo Modelo de Relatório sobre o Rating - Versão em Português;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=462828&descTipo=IPE&CodigoInstituicao=1
CEEB3;02/03/2015;08:15;Celebração ou Extinção de Contrato;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=457262&descTipo=IPE&CodigoInstituicao=1
CEEB3;16/01/2015;18:59;Celebração ou Extinção de Contrato;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=452918&descTipo=IPE&CodigoInstituicao=1
CEEB3;01/07/2014;16:30;Rating Moodyu0027s;https://www.rad.cvm.gov.br/ENET/frmDownloadDocumento.aspx?Tela=ext&numProtocolo=430915&descTipo=IPE&CodigoInstituicao=1
